genus,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,ST9,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30
Micavibrio,5.24E-06,3.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46E-05,0
Lactobacillus,0,3.45E-05,0,0,0,0,0,0,0,0,0,0,0,5.01E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavobacteriaceae bacterium (no genus in NCBI),0,0,1.10E-05,2.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04E-06,1.32E-06,2.94E-05,1.87E-05,0,0,0,0,0,0,0,0
Unclassified Aeromonadales,0,0,0,1.17E-05,0,0,0,0,0,0,0,0,0,0,0,5.61E-05,0,8.11E-06,8.17E-06,2.65E-06,0,0,0,0,0,0,0,0,0,0
Saprospiraceae bacterium (no genus in NCBI),0,0,0,0,7.62E-06,0,0,0,0,2.85E-05,0,0,1.72E-05,0,0,0,0,0,0,0,0,0,1.23E-05,0,0,0,0,2.16E-05,0,0
Unclassified Sphingobacteriia,0,0,0,0,0,0,0,0,0,0,2.69E-05,0,0,0,0,5.61E-05,0,4.86E-06,0,0,0,0,0,0,0,0,0,0,0,0
Luteibacter,0,0,0,3.52E-05,0,0,1.75E-05,0,0,0,0,2.33E-05,0,6.26E-06,0,0,0,3.24E-06,0,2.65E-06,0,0,0,0,0,0,0,0,0,0
Candidatus Pelagibacter,0,0,0,0,1.52E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47E-05,0,0,0,0,0,0,0,0
Tenacibaculum,0,0,0,0,0,0,1.75E-05,0,0,0,0,0,0,3.76E-05,0,0,0,0,0,0,0,3.73E-05,0,0,0,0,0,0,0,0
Unclassified Zetaproteobacteria,0,0,0,0,0,0,0,0,0,0,0,9.33E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
