"Sample","Group","Habitat","Phylum_plot","Relative_abundance"
"ST-H5","ST-H","Subtidal Heat","Planctomycetota",0.0224790152545456
"ST-H5","ST-H","Subtidal Heat","Pseudomonadota",0.492078204450758
"ST-H5","ST-H","Subtidal Heat","Spirochaetota",0.00828994897826595
"ST-H5","ST-H","Subtidal Heat","Thermodesulfobacteriota",0.14012352630348
"ST-H6","ST-H","Subtidal Heat","Actinomycetota",0.00218220214700534
"ST-H6","ST-H","Subtidal Heat","Bacillota",0.00822432099489646
"ST-H6","ST-H","Subtidal Heat","Bacteroidota",0.41104006570071
"ST-H6","ST-H","Subtidal Heat","Campylobacterota",0.0452982929547721
"ST-H6","ST-H","Subtidal Heat","Cyanobacteriota",0.00980817739191647
"ST-H6","ST-H","Subtidal Heat","Ignavibacteriota",0.00369566492638001
"ST-H6","ST-H","Subtidal Heat","Others",0.32243796562445
"ST-H6","ST-H","Subtidal Heat","Planctomycetota",0.0483017539743063
"ST-H6","ST-H","Subtidal Heat","Pseudomonadota",0.108816800610078
"ST-H6","ST-H","Subtidal Heat","Spirochaetota",0.0166598228427289
"ST-H6","ST-H","Subtidal Heat","Thermodesulfobacteriota",0.0235349328327565
