genus,IT1,IT9,IT10,IT11,IT12,IT13,IT14,IT15,IT16,IT17,IT18,IT-C1,IT-H1,IT2,IT19,IT20,IT21,IT22,IT23,IT24,IT25,IT26,IT27,IT-C2,IT-H2,IT3,IT-C3,IT-H3,IT-C4,IT-H4,IT4,IT-C5,IT-H5,IT5,IT-C6,IT-H6,IT6,IT7,IT8,ST1,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST-C1,ST-H1,ST2,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST-C2,ST-H2,ST3,ST30,ST-C3,ST-H3,ST4,ST-C4,ST-H4,ST5,ST-C5,ST-H5,ST6,ST-C6,ST-H6,ST7,ST8,ST9
Jejuia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiloniellales bacterium (no genus in NCBI),101,5,11,35,4,9,10,6,7,2,4,0,0,39,6,35,68,56,8,5,16,5,17,4,70,8,0,1,3,4,17,7,10,15,1,0,8,9,34,5,0,11,8,2,0,4,179,0,4,9,0,0,3,0,10,18,0,0,17,12,0,68,1,0,0,1,7,2,6,16,16,2,2,0,2,0,0,0,0,0,7
Kistimonas,1,4,7,10,15,3,0,17,3,4,3,0,2,1,0,1,6,0,2,2,1,9,2,0,2,2,6,4,0,0,5,1,8,15,0,0,5,0,2,68,31,78,0,62,14,17,236,119,2,9,68,56,44,5,95,75,10,60,328,279,518,0,15,2,16,97,196,11,3,141,22,14,47,49,77,0,8,3,4,3,2
Klebsiella,18,18,12,13,24,38,23,39,20,18,21,20,49,25,25,20,15,14,15,33,11,19,18,29,51,40,36,39,61,52,13,34,94,13,53,53,21,27,12,21,80,149,41,3,240,153,3,73,11,8,155,54,16,154,305,178,6,11,80,244,323,78,28,116,107,9,28,51,78,14,52,28,74,112,112,73,110,108,113,8,3
Kordia,0,0,0,0,0,7,0,0,1,0,2,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,19,0,0,2,10,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kordiimonas,1,3,0,1,4,11,3,3,1,0,8,0,0,4,0,1,0,0,0,16,1,0,0,1,0,1,3,1,12,2,1,46,29,3,6,11,0,5,0,4,1,8,27,0,4,4,0,2,0,3,23,5,0,3,2,2,0,0,4,2,4,3,5,2,0,6,12,16,8,2,6,5,6,36,108,1,0,1,1,0,2
Labilibacter,2,0,0,0,0,0,0,0,1,0,3,0,0,1,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,8,8,1,0,2,0,1,0,0,0,30,12,0,2,4,4,2,1,1,22,0,0,0,0,7,2,3,0,0,0,0,0,0,22,0,0,1428,0,2,28,0,0,4,81,0,0,9,0,0,2
Labilibaculum,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,15,1,1,0,0,2,0,0,0,2,2,0,0,0,0,0,13,2,1,16,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,2,6,4,0,0,0,6,137,0,0,2912,9,0,22,6,0,0,119,0,0,13,0,0,0
Labrenzia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachnospiraceae bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Lacinutrix,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0,2,2,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,2,2,0,0,6,0,0,0,0,2,3,0,0,0
Legionella,0,0,0,0,0,3,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,8,12,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,4,12,1,0,0,0,0,0
Leifsonia,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,5,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Leisingera,2,2,0,0,2,0,0,0,4,0,8,4,0,0,2,0,10,18,2,2,0,4,4,0,7,4,4,0,8,0,0,11,6,0,3,0,4,7,0,0,0,0,0,0,2,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,6,0,0,0,0,0,0
Lentimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
Lentisphaera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0
Lentisphaeria bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lentisphaerota bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,714,14,0,2,2,0,0,33,0,0,0,0,0,0
Leptobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptolyngbya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptolyngbyaceae cyanobacterium (no genus in NCBI),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,2,0,0,0,0,0,24,2,0,0,0,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0,1,2,0,2,0,2,2,4,0,0,2,4,0,0,0,0,0,0,2,0,0,0,0,4,3,0,0,0,0,0,0
Leptospira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewinella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limihaloglobus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,2,0,0,0,0,0,0,0,0,0,0,0,0
Listeria,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,2,2,12,4,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,68,0,0,1,0,0,0,0,0,2,4,0,0,2,2,0,0,2,0,1,0,0,4,3,0,0,0
Longimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luteibacter,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,5,1,0,0,0,3,0,0,1,0,0,0,0,8,0,2,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0
Lutibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
Lutimaribacter,2344,3020,1635,1651,1538,1971,1760,3409,2170,2471,3326,1145,1214,2276,2218,2476,1588,1203,2199,2143,1822,1921,1460,1220,1104,3506,1309,1254,1471,1615,2663,2363,4783,1921,1170,1462,1870,2318,1616,2490,2777,2722,6578,1418,4678,2767,1844,1806,2329,2341,2986,1497,2043,2637,2820,2652,1168,2166,2780,2613,3558,1976,2559,986,881,1250,1329,599,967,2676,1098,787,1991,3038,2194,1134,1604,1207,1570,2063,2803
Lyngbya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lysobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnetospirillum,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaciobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,226,2,0,0,0,0,0,0,0,0,0,0,0,0
Maledivibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,4,0,0,0,0,0,0
Mammaliicoccus,0,0,0,0,0,1,0,0,1,0,2,0,0,1,4,2,0,0,0,6,0,3,16,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0
Mangrovibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Maribacter,8,13,4,0,0,0,4,14,0,0,0,0,0,16,0,3,6,16,8,8,0,0,0,0,0,0,0,0,0,0,2,26,2,2,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maribellus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,3,0,0,0,0,0,0
Maricaulaceae bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maricaulis,0,0,0,0,0,1,0,2,0,0,0,0,0,0,31,0,0,3,0,3,8,0,6,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marichromatium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
marine bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinicauda,0,0,1,0,0,1,0,0,0,0,1,0,0,8,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,2,0,1,2,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
Marinifilaceae bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,31,0,0,0,0,0,0,7,0,0,0,0,0,0
Marinifilum,86,77,72,65,88,119,94,142,140,73,232,50,102,100,84,229,121,51,81,139,72,62,63,83,71,119,82,68,79,138,151,1676,512,87,1799,931,92,134,77,110,153,163,223,77,258,103,54,60,63,102,356,103,106,130,108,106,86,353,196,85,281,141,147,111,5340,43,52,47643,380,117,1123,121,87,391,2961,66,110,1136,76,63,96
Marinilabilia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,1,0,0,0,0,0,0
Mariniphaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinisporobacter,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,2,10,0,0,0,0,0,0
Marinobacter,1,0,0,2,2,0,0,3,2,0,1,0,0,0,0,24,6,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,1,0,0,8,6,0,5,0,0,8,1,0,0,0,0,4,0,0,0,6,0,0,0,0,2,0,0,0,4,0,0,0,4,0,0,0,0,1,12,0,0,0,0,0,0
Marinobacterium,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0
Marinoscillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,4,0,0,16,0,0,0
Mariprofundus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
Marispirochaeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,2,0,0,0,0,0,0
Maritalea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maritimibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marivirga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Marivita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mastigocoleus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merdimmobilis,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesoflavibacter,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesomycoplasma,4,17,26,12,12,10,12,32,11,8,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,8,0,0,4,2,0,18,6,21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesorhizobium,2,0,0,0,2,17,1,3,0,2,1,2,0,1,1,4,118,157,2,3,10,2,0,0,0,90,0,0,0,0,18,7,5,0,7,0,4,4,1,3,0,6,0,0,0,1,0,0,0,1,10,3,1,0,0,1,0,0,1,4,0,4,0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,2,0
Methylobacillus,0,0,2,2,2,0,3,4,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,8,4,0,0,1,0,1,0,2,0,0,0,12,25,24,0,0,0,0,4,8,0,0,4,0,0,2,0,0,0,0,0,0,0,0
Methylobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyloceanibacter,0,0,2,0,0,4,0,0,0,0,4,0,0,0,0,4,9,8,0,4,5,2,0,0,1,2,0,2,0,0,8,4,6,0,0,0,3,0,2,0,0,1,2,0,0,1,0,0,0,0,11,0,0,0,2,6,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,12,12,2,0,0,0,0,0
Methyloligella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0
Methylomagnum,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylophaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micavibrio,4,2,0,0,0,0,3,2,0,0,4,0,0,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,8,7,0,0,0,0,2,0
Microbulbifer,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,1,0,2,1,2,10,2,5,2,2,16,12,0,0,8,0,15,0,8,0,0,0,47,24,43,0,0,0,0,10,16,0,4,14,4,0,4,11,19,2,0,0,0,1,1
Microcystis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,6,0,0,0,0,0,0
Microscilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
Microscillaceae bacterium (no genus in NCBI),0,1,0,0,1,0,0,2,2,0,2,0,0,1,0,0,0,0,0,5,0,0,0,0,0,3,0,0,172,0,7,2,24,0,0,1,0,0,1,0,1,10,3,0,38,0,0,6,4,0,35,7,16,14,6,0,8,0,16,2,6,0,0,0,0,0,6,6,2,2,0,0,7,11,0,10,0,0,23,3,0
Microvirga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minwuia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
